"tag","region","position","pr","mvps","char1","char2","etc"
"RiskTKR","🇺🇲","member","3rd Indiana","1","<:rob:575804744363409409>","<:piranha_plant:595042549887139840>"
"Schlegs","🇺🇲","member","","0","<:captain_falcon3:617457329901666314>"
"Slashy","🇺🇲","member","10th MDVA","0","<:mii_brawler:596831773338632202>"
"Sonix","🇩🇴","member","10th worldwide","4","<:sonic5:617474213799919628>"
"SpitTrap19","🇧🇷","member","3rd Brazil","23","<:bowser5:617457148569452547>"
"Sticccy","🇺🇲","member","3rd Utah","0","<:foxs:575804399096561664>"
"T_pot","🇺🇲","member","3rd Israel","13","<:terry:641715693225639953>"
"Tom3","🇺🇲","member","","0","<:roy:575804744891891714>"
"Turters","🇬🇧","member","7th North/West Yorkshire","3","<:min_min6:728013949819158559>"
"Unova","🇺🇲","member","","0","<:min_min6:728013949819158559>","<:ridley:575804744996487168>"
"Wild Card","🇺🇲","member","9th Staten Island","0","<:richter2:617471452769157120>","<:simon2:617473278964924437>","<:sephiroth:788644412296003594>"
"Wolfen","🇸🇻","member","","0","<:banjo_and_kazooie:596831625765978131>","<:kazuya:861697760163659806>"
"Xane","🇺🇸","member","","0","<:meta_knight:575804482084929546>"
"Xcurr","🇬🇧","member","","4","<:bayonetta2:609627104400637952>"
"Angelo From DragonQuest","🇺🇲","unflaired","","1","<:dr_mario7:617459997663559811>"
"Arisen","🇲🇽","unflaired","","0","<:hero:596831646842486805>"
"Cheems","🇬🇧","unflaired","","0","<:ice_climbers:575804399339700234>"
"Chesser","🇺🇲","unflaired","","0","<:wii_fit_trainer:575804745654992906>"
"Claus","🇺🇲","unflaired","","1","<:ganondorf:575804399348088833>","<:marth:575804400157589546>"
"ClubberDan","🇺🇲","unflaired","","0","<:sheik:575804745193881610>","<:chrom:575804398521810994>"
"Dagangster","🇨🇦","unflaired","7th Gatineau","4","<:king_dedede6:617464064964296704>"
"electrode","🇺🇲","unflaired","","10","<:zelda:575804745877553182>"
"fifty6","🇺🇲","unflaired","","0","<:piranha_plant:595042549887139840>"
"G~","🇺🇲","unflaired","6th Indiana","0","<:ness4:617468346694369290>"
"JustGoodPop","🇺🇲","unflaired","","0","<:ike2:617461924137009172>"
"Logue","🇬🇧","unflaired","11th east England","4","<:bayonetta2:609627104400637952>"
"miko","🇨🇦","unflaired","","500","<:young_link2:617475580040052777>"
"Nuk","🇺🇲","unflaired","","0","<:joker:575804399742484500>"
"Quota","🇺🇲","unflaired","","1","<:ken:575804400195469331>","<:ryu:575804745005006868>","<:terry:641715693225639953>"
"Rubes","🇺🇲","unflaired","","1","<:little_mac7:617465450066083870>"
"SILKK DA SHOCKA","🇲🇽","unflaired","","0","<:zero_suit_samus4:617475825419288584>","<:sephiroth4:790035634198544426>","<:pythra8:817866846543675424>"
"tony.","🇺🇲","unflaired","","0","<:rob:575804744363409409>","<:joker:575804399742484500>","<:inkling7:617462854341099521>"
"Versatile","🇨🇦","unflaired","","0","<:min_min8:728013949512974389>","<:inkling4:617462853733056730>"
